,id,adult,backdrop_path,genre_ids,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
0,365177,False,/mKOBdgaEFguADkJhfFslY7TYxIh.jpg,"[28, 878, 35, 12, 53]",en,Borderlands,"Returning to her home planet, an infamous bounty hunter forms an unexpected alliance with a team of unlikely heroes. Together, they battle monsters and dangerous bandits to protect a young girl who holds the key to unimaginable power.",2172.791,/865DntZzOdX6rLMd405R0nFkLmL.jpg,2024-08-07,Borderlands,False,5.871,468
1,917496,False,/18wozP6NjPSNBSgCga5bN7yUSzl.jpg,"[35, 14, 27]",en,Beetlejuice Beetlejuice,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Beetlejuice, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.",1462.87,/kKgQzkUCnQmeTPkyIwHly2t6ZFI.jpg,2024-09-04,Beetlejuice Beetlejuice,False,7.217,373
2,646097,False,/tbgIhYwQ5IAgNaFU1SBBxxNXCmm.jpg,"[80, 28, 53]",en,Rebel Ridge,A former Marine confronts corruption in a small town when local law enforcement unjustly seizes the bag of cash he needs to post his cousin's bail.,1163.687,/xEt2GSz9z5rSVpIHMiGdtf0czyf.jpg,2024-08-27,Rebel Ridge,False,6.908,355
3,519182,False,/lgkPzcOSnTvjeMnuFzozRO5HHw1.jpg,"[16, 10751, 35, 28]",en,Despicable Me 4,"Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.",1109.442,/wWba3TaojhK7NdycRhoQpsG0FaH.jpg,2024-06-20,Despicable Me 4,False,7.181,1546
4,970347,False,/tCQfubckzzcuCbsGugkpLhfjS5z.jpg,"[28, 53, 80]",en,The Killer,"Zee is a feared contract killer known as ""the Queen of the Dead,"" but when she refuses to murder a young blind woman, she finds herself hunted both by criminal colleagues and a determined police detective.",984.321,/6PCnxKZZIVRanWb710pNpYVkCSw.jpg,2024-08-22,The Killer,False,6.536,180
5,923667,False,/9juRmk8QjcsUcbrevVu5t8VZy5G.jpg,"[28, 12, 80, 53]",cn,???????,"Set in the 1980s, troubled youth Chan Lok-kwun accidentally enters the Walled City, discovers the order amidst its chaos, and learns important life lessons along the way. In the Walled City, he becomes close friends with Shin, Twelfth Master and AV. Under the leadership of Cyclone, they resist against the invasion of villain Mr. Big in a series of fierce battles. Together, they vow to protect the safe haven that is Kowloon Walled City.",918.486,/PywbVPeIhBFc33QXktnhMaysmL.jpg,2024-04-23,Twilight of the Warriors: Walled In,False,6.7,136
6,4011,False,/yRKyJJYIzfeiVDHBe4LXguPQCvD.jpg,"[14, 35]",en,Beetlejuice,A newly dead New England couple seeks help from a deranged demon exorcist to scare an affluent New York family out of their home.,837.234,/nnl6OWkyPpuMm595hmAxNW3rZFn.jpg,1988-03-30,Beetlejuice,False,7.38,6952
7,718821,False,/7aPrv2HFssWcOtpig5G3HEVk3uS.jpg,"[28, 12, 53]",en,Twisters,"As storm season intensifies, the paths of former storm chaser Kate Carter and reckless social-media superstar Tyler Owens collide when terrifying phenomena never seen before are unleashed. The pair and their competing teams find themselves squarely in the paths of multiple storm systems converging over central Oklahoma in the fight of their lives.",729.232,/pjnD08FlMAIXsfOLKQbvmO0f0MD.jpg,2024-07-10,Twisters,False,6.982,1346
8,5492,False,/bxwKC4qAbceMgHU1xCCTBK1eYdn.jpg,"[28, 53, 80]",en,Gunner,"While on a camping trip in order to reconnect, war veteran Colonel Lee Gunner must save his two sons from a gang of violent bikers when they're kidnapped after accidentally stumbling upon to a massive drug operation.",665.631,/eEkAY5veAnwxUOOlpF62KawkFO9.jpg,2024-08-16,Gunner,False,5.4,75
9,1079091,False,/9BQqngPfwpeAfK7c2H3cwIFWIVR.jpg,"[10749, 18]",en,It Ends with Us,"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended, and she realizes she must learn to rely on her own strength to make an impossible choice for her future.",645.612,/4TzwDWpLmb9bWJjlN3iBUdvgarw.jpg,2024-08-07,It Ends with Us,False,6.73,285
10,704239,False,/4ft6TR9wA6bra0RLL6G7JFDQ5t1.jpg,"[28, 35]",en,The Union,A New Jersey construction worker goes from regular guy to aspiring spy when his long-lost high school sweetheart recruits him for an espionage mission.,631.432,/d9CTnTHip1RbVi2OQbA2LJJQAGI.jpg,2024-08-15,The Union,False,6.258,611
11,945961,False,/9SSEUrSqhljBMzRe4aBTh17rUaC.jpg,"[27, 878]",en,Alien: Romulus,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.",629.787,/b33nnKl1GSFbao4l3fZDDqsMx0F.jpg,2024-08-13,Alien: Romulus,False,7.106,957
12,1160018,False,/okVLmXL5y18dfN2R4ufMZEGaeCd.jpg,"[28, 80]",hi,???,"When an army commando finds out his true love is engaged against her will, he boards a New Dehli-bound train in a daring quest to derail the arranged marriage. But when a gang of knife-wielding thieves begin to terrorize innocent passengers on his train, the commando takes them on himself in a death-defying kill-spree to save those around him — turning what should have been a typical commute into an adrenaline-fueled thrill ride.",622.165,/m2zXTuNPkywdYLyWlVyJZW2QOJH.jpg,2024-07-03,Kill,False,6.79,131
13,1032823,False,/p5kpFS0P3lIwzwzHBOULQovNWyj.jpg,"[80, 53]",en,Trap,"A father and teen daughter attend a pop concert, where they realize they're at the center of a dark and sinister event.",587.28,/jwoaKYVqPgYemFpaANL941EF94R.jpg,2024-07-31,Trap,False,6.522,1004
14,930600,False,/qkEnklEGDFy4TRVhuHFn2DI2BP6.jpg,"[27, 53]",en,The Deliverance,"Ebony Jackson, a struggling single mother fighting her personal demons, moves her family into a new home for a fresh start. But when strange occurrences inside the home raise the suspicions of Child Protective Services and threaten to tear the family apart, Ebony soon finds herself locked in a battle for her life and the souls of her children.",559.481,/og1FteMFRInoQnlZeWqEn8XpXHh.jpg,2024-08-16,The Deliverance,False,6.321,257
15,1226578,False,/6ToGkmqn0KG0UGGGUAC1Ww0e5CM.jpg,"[80, 27, 53]",en,Longlegs,"FBI Agent Lee Harker is assigned to an unsolved serial killer case that takes an unexpected turn, revealing evidence of the occult. Harker discovers a personal connection to the killer and must stop him before he strikes again.",513.766,/5aj8vVGFwGVbQQs26ywhg4Zxk2L.jpg,2024-05-31,Longlegs,False,6.7,781
16,748783,False,/1wP1phHo2CROOqzv7Azs0MT5esU.jpg,"[16, 35, 10751, 12, 28]",en,The Garfield Movie,"Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist.",510.41,/p6AbOJvMQhBmffd0PIv0u8ghWeY.jpg,2024-04-30,The Garfield Movie,False,7.12,905
17,1094138,False,/7mQ13AV4qd6A43XxXfSoyYQMzhh.jpg,"[35, 878]",en,Jackpot!,"In the near future, a 'Grand Lottery' has been established - the catch: kill the winner before sundown to legally claim their multi-billion dollar jackpot. When Katie Kim mistakenly finds herself with the winning ticket, she reluctantly joins forces with amateur lottery protection agent Noel Cassidy who must get her to sundown in exchange for a piece of her prize.",505.605,/fOsamTFIyGxjw1jLSKdZYxQBJOT.jpg,2024-08-13,Jackpot!,False,6.374,444
18,1298238,False,/sqfam7wEpmyG9Fx0AdVQYrLcIfy.jpg,"[53, 80, 18]",es,Príncipes salvajes,"A group of wealthy teenagers commit crimes that escalate from petty mischief to dangerous plots, causing chaotic consequences — but not for themselves.",460.747,/iEe9RODlNgobupiksZ2vE4TZwUg.jpg,2024-08-27,Untamed Royals,False,5.9,31
19,826510,False,/vJk9DOLgP23jO5mBnPHE93MFgYu.jpg,"[12, 10751, 14, 35]",en,Harold and the Purple Crayon,"Inside of his book, adventurous Harold can make anything come to life simply by drawing it. After he grows up and draws himself off the book's pages and into the physical world, Harold finds he has a lot to learn about real life.",451.301,/dEsuQOZwdaFAVL26RjgjwGl9j7m.jpg,2024-07-31,Harold and the Purple Crayon,False,6.991,106
